rogue,Dot11EltCountry,RSNVersion,rates,CapabilitiesMin_MPDCU_Start_Spacing,DSSS_CCK,Max_A_MSDU,Rx_STBC,Tx_STBC,Short_GI_40Mhz,Short_GI_20Mhz,SM_Power_Save,Supported_Channel_Width,LDPC_Coding_Capability,Min_MPDCU_Start_Spacing,Max_A_MPDU_Length_Exponent,TX_MCS_Set_Defined,RX_MSC_Bitmask,Compressed_Steering_n_Beamformer_Antennas_Supported,Receive_NDP,entropy
-1,0,1,8,0,0,0,1,0,0,1,3,0,1,0,3,1,1,0,0,2.8023396028053402
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8018520548028776
-1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.801022077138515
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.8005269554162404
-1,0,1,8,0,0,0,1,0,0,1,3,0,1,0,3,1,1,0,0,2.79836905655892
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.797876690256987
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7973737544777504
-1,1,1,8,5,0,0,0,0,0,1,3,0,1,5,3,0,1,0,0,2.796190092441714
-1,0,1,8,5,0,0,1,0,0,1,3,0,1,5,3,0,1,0,0,2.7953733391050726
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7948680138867927
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7943529793196555
-1,1,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.7943281670583726
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.7936468925205062
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.793134152612254
-1,0,1,4,4,0,0,1,1,0,1,3,0,1,4,3,0,1,2,0,2.7947230821053273
-1,1,1,4,4,0,1,1,1,0,1,3,0,1,4,3,0,1,2,0,2.7963718285198493
1,0,1,8,6,1,0,1,1,1,1,3,1,1,6,3,1,1,0,0,2.7968936264591693
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7963585077804827
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.794211799309995
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.793544425075677
-1,0,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.7934563982394987
1,1,1,8,5,1,1,0,0,1,1,3,1,1,5,3,0,1,3,1,2.7948264491603645
-1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.7946065999760545
1,0,1,8,7,1,0,1,1,0,1,3,0,0,7,3,0,1,0,0,2.795408303932106
-1,1,1,8,6,0,0,0,0,0,1,3,0,1,6,3,0,1,0,0,2.795161601858229
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7946459025570394
1,0,1,8,5,1,0,0,0,1,1,3,1,0,5,3,0,1,0,0,2.794718196552934
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.7940578055687997
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7935346387334876
-1,0,1,4,4,0,0,1,1,0,1,3,0,1,4,3,0,1,2,0,2.7949566172639084
1,0,1,8,5,1,0,1,1,1,1,3,1,0,5,3,0,1,0,0,2.795210357573889
-1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7992426497969625
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7987131269320473
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.7980616001374927
1,1,1,8,0,1,1,1,1,0,0,3,1,1,0,3,0,1,3,1,2.7979009827119574
-1,0,1,8,0,0,0,1,0,0,1,3,0,0,0,3,1,1,0,0,2.7958858220311105
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7953646047272467
-1,0,1,8,0,0,0,1,0,0,1,0,0,0,0,3,1,1,0,0,2.7929956596334606
1,1,1,8,5,1,0,1,1,1,1,3,0,1,5,3,1,1,0,0,2.7924828992485735
1,1,1,8,4,0,1,1,1,0,1,3,0,1,4,3,0,1,3,1,2.792617303539162
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.791783516039096
-1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7956154002178697
-1,0,1,8,5,0,0,0,0,0,1,3,0,1,5,3,0,1,0,0,2.79478096142497
1,1,1,8,5,1,1,1,1,1,1,3,1,1,5,3,0,1,0,0,2.7949062604387014
1,1,1,8,4,1,1,1,1,0,0,3,0,1,4,3,0,1,3,1,2.795038953970097
-1,0,1,8,5,0,1,1,0,0,1,3,0,1,5,3,0,1,0,0,2.7942191298985306
-1,0,1,4,4,0,0,1,0,0,1,3,0,1,4,3,0,1,0,0,2.794167291000282
